Stop,Count
Athletics Complex E,3771
Athletics Complex W,49329
Aux Services East,48159
Aux Services West,25442
CRI Deck,70768
Duke Centennial Hall East,2851
EPIC N,2752
EPIC S,29220
East Deck 2,8899
Fretwell N,50311
Grigg Hall E,1537
Grigg Hall W,38170
Hickory Hall North,2297
Lot 5A,51917
Lot 6,69145
Martin Hall,61732
Motor Sports,22901
PORTAL East,4554
Portal W,77506
Student Health (Green) W,1
Student Health E,1028
Student Health N,21135
Student Union E,100287
Student Union W,114099
Union Deck/Belk N,1982
Wallis Hall E/Light Rail,1664
Woodward Hall East,28089
