Stop,Count
Aux Services West,1165
Cato Hall N,2254
Cato Hall S,5022
Cone Deck East,1423
East Deck 2,90
Foundation Bldg. North,2813
Foundation Bldg. South,3330
Fretwell N,3982
Fretwell S,28866
Harris Alumni Center North,980
Harris Alumni Center South,12187
Hickory Hall South,1567
Hunt Hall,39781
Levine Hall W,24140
Martin Hall,231
Reese East,2206
Reese West,1378
Robinson Hall N,1204
Robinson Hall S,10770
Student Health E,2958
Student Union W,24158
Union Deck/Belk N,3126
Wallis Hall E/Light Rail,18079
