Stop,Count
Aux Services West,1099
Cato Hall N,3045
Cato Hall S,7926
Cone Deck East,2853
East Deck 2,115
Foundation Bldg. North,2922
Foundation Bldg. South,3571
Fretwell N,8450
Fretwell S,24305
Harris Alumni Center North,1904
Harris Alumni Center South,11843
Hickory Hall South,2500
Hunt Hall,22189
Levine Hall W,8292
Martin Hall,119
Reese East,2921
Reese West,2081
Robinson Hall N,5595
Robinson Hall S,7780
Student Health E,2988
Student Union W,28780
Union Deck/Belk N,6165
Wallis Hall E/Light Rail,36248
