Stop,Count
Alumni Way E,779
Aux Services East,5686
Belk Hall S,13813
CRI Deck,11
Cato Hall N,5038
Cato Hall S,6036
Cone Deck W,9159
FM/Police Building,299
Fretwell N,14309
Fretwell S,10402
Harris Alumni Center South,4
Hickory Hall North,784
Hunt Hall,1
Levine Hall E,21885
Martin Hall,79
North Deck,10035
Reese East,4112
Reese West,3965
Robinson Hall N,6261
Robinson Hall S,4558
South Village Deck,72462
Student Health (Green) W,9586
Student Health N,33118
Student Union E,65335
Wallis Hall W/Light Rail,45913
Woodward Hall East,7384
