Stop,Count
Athletics Complex E,7303
Athletics Complex W,8863
Aux Services East,34219
Aux Services West,23208
CRI Deck,74506
Duke Centennial Hall East,67605
EPIC N,50974
EPIC S,2799
East Deck 2,6658
Fretwell N,31172
Grigg Hall E,37828
Grigg Hall W,11216
Hickory Hall North,2443
Lot 5A,61797
Lot 6,59424
Martin Hall,64732
Motor Sports,2912
PORTAL East,12395
Portal W,40096
Robinson Hall S,2
Student Health (Green) W,1
Student Health E,873
Student Health N,11639
Student Union E,107882
Student Union W,158578
Union Deck/Belk N,1598
Wallis Hall E/Light Rail,2937
Woodward Hall East,18191
